sum,Avg0,SD0,frust0,file,Nodes,Reg
1,0.5000199999999999,0.0018488077384257,0.2222222222222222,T3SA,3,SA
2,0.49997999999999987,0.0033398670980446,0.2222222222222222,T3SA,3,SA
0,0.0,0.0,0.0,T3SA,3,SA
3,0.0,0.0,0.0,T3SA,3,SA
1,0.3117599999999999,0.0024638088986969,0.375,T4SA,4,SA
2,0.3751266666666663,0.0035064051223146,0.25,T4SA,4,SA
3,0.3131133333333332,0.0020767641662726,0.375,T4SA,4,SA
0,0.0,0.0,0.0,T4SA,4,SA
4,0.0,0.0,0.0,T4SA,4,SA
2,0.5004066666666663,0.005540857966883864,0.32,T5SA,5,SA
3,0.499593333333333,0.0049915316474483,0.32,T5SA,5,SA
0,0.0,0.0,0.0,T5SA,5,SA
1,0.0,0.0,0.0,T5SA,5,SA
4,0.0,0.0,0.0,T5SA,5,SA
5,0.0,0.0,0.0,T5SA,5,SA
2,0.3426266666666662,0.0048121245193503475,0.3888888888888889,T6SA,6,SA
3,0.3108599999999992,0.0057787266633768635,0.3333333333333333,T6SA,6,SA
4,0.3465133333333329,0.0052571792344966,0.3888888888888889,T6SA,6,SA
0,0.0,0.0,0.0,T6SA,6,SA
1,0.0,0.0,0.0,T6SA,6,SA
5,0.0,0.0,0.0,T6SA,6,SA
6,0.0,0.0,0.0,T6SA,6,SA
3,0.4991366666666651,0.00967477755658025,0.3673469387755102,T7SA,7,SA
4,0.5008633333333321,0.009105439910011595,0.3673469387755102,T7SA,7,SA
0,0.0,0.0,0.0,T7SA,7,SA
1,0.0,0.0,0.0,T7SA,7,SA
2,0.0,0.0,0.0,T7SA,7,SA
5,0.0,0.0,0.0,T7SA,7,SA
6,0.0,0.0,0.0,T7SA,7,SA
7,0.0,0.0,0.0,T7SA,7,SA
3,0.3634466666666639,0.009737916317084164,0.40625,T8SA,8,SA
4,0.2729966666666639,0.00974223380748402,0.375,T8SA,8,SA
5,0.3635566666666646,0.01174866886826291,0.40625,T8SA,8,SA
0,0.0,0.0,0.0,T8SA,8,SA
1,0.0,0.0,0.0,T8SA,8,SA
2,0.0,0.0,0.0,T8SA,8,SA
6,0.0,0.0,0.0,T8SA,8,SA
7,0.0,0.0,0.0,T8SA,8,SA
8,0.0,0.0,0.0,T8SA,8,SA
1,1.0,0.001062115289829,0.5,T2SI,2,SI
0,0.0,0.0,0.0,T2SI,2,SI
2,0.0,0.0,0.0,T2SI,2,SI
2,0.9999999999999998,0.0065457875323229,0.5,T4SI,4,SI
0,0.0,0.0,0.0,T4SI,4,SI
1,0.0,0.0,0.0,T4SI,4,SI
3,0.0,0.0,0.0,T4SI,4,SI
4,0.0,0.0,0.0,T4SI,4,SI
3,0.9999999999999993,0.010687015394080717,0.5,T6SI,6,SI
0,0.0,0.0,0.0,T6SI,6,SI
1,0.0,0.0,0.0,T6SI,6,SI
2,0.0,0.0,0.0,T6SI,6,SI
4,0.0,0.0,0.0,T6SI,6,SI
5,0.0,0.0,0.0,T6SI,6,SI
6,0.0,0.0,0.0,T6SI,6,SI
4,0.9999999999999974,0.020592182173397602,0.5,T8SI,8,SI
0,0.0,0.0,0.0,T8SI,8,SI
1,0.0,0.0,0.0,T8SI,8,SI
2,0.0,0.0,0.0,T8SI,8,SI
3,0.0,0.0,0.0,T8SI,8,SI
5,0.0,0.0,0.0,T8SI,8,SI
6,0.0,0.0,0.0,T8SI,8,SI
7,0.0,0.0,0.0,T8SI,8,SI
8,0.0,0.0,0.0,T8SI,8,SI
