sum,Avg0,SD0,file,Teams,Members
3,0.0,0.0,Team3_8,3,8
1,0.4978499999999998,0.0023934431429332,Team3_9,3,9
2,0.5021499999999999,0.0034233405471987997,Team3_9,3,9
0,0.0,0.0,Team3_9,3,9
3,0.0,0.0,Team3_9,3,9
2,0.9999999999999998,0.0051528814284899,Team4_10,4,10
0,0.0,0.0,Team4_10,4,10
1,0.0,0.0,Team4_10,4,10
3,0.0,0.0,Team4_10,4,10
4,0.0,0.0,Team4_10,4,10
2,0.9999999999999997,0.005682063668242,Team4_2,4,2
0,0.0,0.0,Team4_2,4,2
1,0.0,0.0,Team4_2,4,2
3,0.0,0.0,Team4_2,4,2
4,0.0,0.0,Team4_2,4,2
2,0.9999999999999996,0.006987638790035,Team4_3,4,3
0,0.0,0.0,Team4_3,4,3
1,0.0,0.0,Team4_3,4,3
3,0.0,0.0,Team4_3,4,3
4,0.0,0.0,Team4_3,4,3
2,0.9999999999999998,0.0037305258252765,Team4_4,4,4
0,0.0,0.0,Team4_4,4,4
1,0.0,0.0,Team4_4,4,4
3,0.0,0.0,Team4_4,4,4
4,0.0,0.0,Team4_4,4,4
2,0.9999999999999999,0.0045169057846992,Team4_5,4,5
0,0.0,0.0,Team4_5,4,5
1,0.0,0.0,Team4_5,4,5
3,0.0,0.0,Team4_5,4,5
4,0.0,0.0,Team4_5,4,5
2,0.9999999999999998,0.0038246014573868,Team4_6,4,6
0,0.0,0.0,Team4_6,4,6
1,0.0,0.0,Team4_6,4,6
3,0.0,0.0,Team4_6,4,6
4,0.0,0.0,Team4_6,4,6
2,0.9999999999999997,0.003642395218045,Team4_7,4,7
0,0.0,0.0,Team4_7,4,7
1,0.0,0.0,Team4_7,4,7
3,0.0,0.0,Team4_7,4,7
4,0.0,0.0,Team4_7,4,7
2,0.9999999999999998,0.0033074176869138,Team4_8,4,8
0,0.0,0.0,Team4_8,4,8
1,0.0,0.0,Team4_8,4,8
3,0.0,0.0,Team4_8,4,8
4,0.0,0.0,Team4_8,4,8
2,0.9999999999999998,0.0052251109769672,Team4_9,4,9
0,0.0,0.0,Team4_9,4,9
1,0.0,0.0,Team4_9,4,9
3,0.0,0.0,Team4_9,4,9
4,0.0,0.0,Team4_9,4,9
2,0.5017633333333331,0.0040655464939162,Team5_10,5,10
3,0.49823666666666633,0.0051262607705201,Team5_10,5,10
0,0.0,0.0,Team5_10,5,10
1,0.0,0.0,Team5_10,5,10
4,0.0,0.0,Team5_10,5,10
5,0.0,0.0,Team5_10,5,10
2,0.4984366666666663,0.0056472065288805,Team5_2,5,2
3,0.5015633333333329,0.0062173815295378,Team5_2,5,2
0,0.0,0.0,Team5_2,5,2
1,0.0,0.0,Team5_2,5,2
4,0.0,0.0,Team5_2,5,2
5,0.0,0.0,Team5_2,5,2
2,0.4994399999999996,0.0043891526276433005,Team5_3,5,3
3,0.5005599999999996,0.0038878089809415003,Team5_3,5,3
0,0.0,0.0,Team5_3,5,3
1,0.0,0.0,Team5_3,5,3
4,0.0,0.0,Team5_3,5,3
5,0.0,0.0,Team5_3,5,3
2,0.4993633333333331,0.0055411632861812,Team5_4,5,4
3,0.5006366666666663,0.0041271137045886,Team5_4,5,4
0,0.0,0.0,Team5_4,5,4
1,0.0,0.0,Team5_4,5,4
4,0.0,0.0,Team5_4,5,4
